id,book_name,author_name,series_name,series_position,subgenres,themes,summary,page_count,publication_year,publisher,awards,target_audience,pacing,tone,writing_style,narrative_structure,setting_type,technology_focus,content_warnings,page_page_count
160,The Other Wind,Ursula K. Le Guin,Earthsea Cycle,6.0,High fantasy; Mythic fantasy,Death; Renewal; Power; Reconciliation,"The boundaries between life and death in Earthsea weaken. Ged, Tehanu, and others confront ancestral wrongs and the nature of dragons and magic to restore balance.",,2001,,,Fantasy readers,Moderate; escalating magical stakes,Grave; Mythic; Resolving,Third-person; multiple voice threads,Converging arcs of past and present meeting in mythic climax (guess),"Isles, realms of the dead, dragons",,Death; Rebirth; Magical conflict,
161,The Golden Compass,Philip Pullman,His Dark Materials,1.0,Fantasy; Coming-of-age; Philosophical fantasy,Free will; Religion; Knowledge; Sacrifice,"Lyra Belacqua uncovers a sinister plot involving kidnapped children and a mysterious substance called Dust, leading her to travel north with a host of allies and daemons in tow.",399.0,1995,Scholastic / Random House,Carnegie Medal,Young adult / fantasy readers,Moderate to fast; adventure and intrigue,Dark; Philosophical; Emotional,Third-person; richly descriptive with multiple voices,Quest-driven with escalating revelation arcs (guess),Parallel universes; arctic North; cities,Daemons; parallel world physics,Violence; Death; Complex theology,
162,The Subtle Knife,Philip Pullman,His Dark Materials,2.0,Fantasy; Multiverse SF,Choices; Power; Interconnected worlds,"Lyra and Will meet and venture between worlds. They seek the Subtle Knife, a blade that can cut between universes, while dark forces pursue them.",,1997,,,Young adult / fantasy readers,Moderate to fast; high stakes,Tense; Dark; Expansive,Third-person; dual POVs,Parallel arcs in multiple worlds converging at knife reveal (guess),Parallel universes; multiple worlds,Knife world-cutting; daemons; physics,Violence; Death; Existential threat,
163,The Amber Spyglass,Philip Pullman,His Dark Materials,3.0,Fantasy; Multiverse SF; Apocalyptic fantasy,Sacrifice; Love; Destiny; Universes in peril,"Lyra and Will face final battles across worlds. They uncover cosmic stakes, challenge authority, and navigate deep love and loss.",,2000,,Hugo Award Winner,Young adult / fantasy readers,Fast; climactic resolution,Emotional; Epic; Thoughtful,Third-person; multiple POVs across worlds,Converging world arcs culminating in cosmic resolution (guess),Multiple universes; cosmic realms,Daemon metaphysics; multiverse mechanics,Death; Sacrifice; Theology,
164,La Belle Sauvage,Philip Pullman,The Book of Dust,1.0,Fantasy; Dark fantasy,Faith; Survival; Protection; Secrets,Young Malcolm and infant Lyra must protect a secret under siege during flood and ideological threats as factions vie to control her fate.,,2017,,,Young adult / fantasy readers,Moderate; tension-filled,Suspenseful; Mystical; Moral,Third-person; shifting perspectives,Protective journey arc with escalating threats (guess),Flooded England; monastery; wilderness,Magical devices; narrative physics,Violence; Child endangerment; Ideological conflict,
165,The Secret Commonwealth,Philip Pullman,La Belle Sauvage / Book of Dust series,2.0,Fantasy; Philosophical fantasy,Memory; Identity; Darkness in souls,"Lyra is older and more troubled. As she journeys across worlds, she confronts inner darkness, memory’s weight, and cosmic forces undermining souls.",,2019,,,Adult / fantasy readers,Moderate; psychological and cosmic tension,Introspective; Dark; Emotional,Third-person; internal + external voice balance,Parallel arcs across worlds and self (guess),Multiple universes; cities and wilderness,Daemon metaphysics; psychic landscapes,Violence; Psychological strain; Loss,
166,Jonathan Strange & Mr Norrell,Susanna Clarke,,,Historical fantasy; Magical realism,Magic and repression; Friendship; Rivalry; Power,"In 19th-century England, Mr Norrell and Jonathan Strange revive magic amidst war and intrigue. Their ambitions and temperaments clash as magical and political realms collide.",,2004,,Hugo Award Winner,Adult / fantasy readers,Moderate; atmospheric elegance,Literary; Wry; Supernatural,Third-person; formal style with footnotes,Dual protagonists arcs weaving magical and political conflict (guess),Historical England + magical layers,Magic restoration; arcane systems,Violence; Madness; Moral ambiguity,
167,Piranesi,Susanna Clarke,,,Fantasy; Speculative fiction,Memory; Reality; Solitude; Discovery,"Piranesi lives in a vast House of halls and statues, cataloguing its wonders. When a mysterious visitor probes beyond the known, Piranesi’s reality fractures and truths emerge.",,2020,,"Women’s Prize for Fiction 2021, Hugo Award nominee",Adult / literary fantasy readers,Slow; introspective,Eerie; Meditative; Strange,First-person journal style with revealing fragments,Fragmented revelation arc through entries (guess),Labyrinthine House; water realms; statue halls,,Isolation; Surreal danger,
168,Mort,Terry Pratchett,Discworld,4.0,Comic fantasy; Satire,Death; Duty; Growth; Fate,"Mort, a clumsy youth, becomes Death’s apprentice. In learning the role, he confronts love, cosmic duty, and what it means to die.",,1987,,,Young adult / fantasy readers,Moderate; witty and moving,Humorous; Philosophical; Warm,Third-person comedic fantasy style,Apprenticeship arc rising to existential stakes (guess),Discworld; death-kingdoms; crossroads,,Death; Dark humor,
169,Hogfather,Terry Pratchett,Discworld,20.0,Comic fantasy; Satire,Belief; Death; Myth; Duty,"On Discworld’s Hogswatch night, Death substitutes for the Hogfather to ensure belief persists. Meanwhile, a plot to eliminate belief threatens the world’s fabric.",,1996,,,Fantasy readers,Moderate; comedic and tension,Satirical; Wry; Philosophical,Third-person humorous fantasy style,Dual plot arcs of Death’s work and belief plot converging (guess),Discworld; urban settings; magical realms,,Dark humor; Death; Violence,
170,Night Watch,Terry Pratchett,Discworld,29.0,Comic fantasy; Time-travel fantasy,Justice; Revolution; Memory; Duty and consequence,Sam Vimes is sent back in time through a storm and must assume the identity of a long-dead hero to steer a revolution toward a less bloody outcome while maintaining his integrity.,480.0,2002,Doubleday / Corgi,Prometheus Award 2003,Adult / fantasy readers,Moderate to fast; political tension and action,Serious; Wry; Reflective,Third-person multiple POV with Pratchett’s satirical tone,Time-travel loop with plotlines converging past and present (guess),Ankh-Morpork; past era,Magic/time anomalies; urban infrastructure,Violence; Revolt; Political intrigue,
171,Going Postal,Terry Pratchett,Discworld,33.0,Comic fantasy; Steampunk fantasy,Redemption; Innovation vs tradition; Communication; Corruption,"Con artist Moist von Lipwig is given the chance to redeem himself by reviving the Ankh-Morpork Post Office. He faces sabotage, rival messenger services, and moral tests.",,2004,,,Fantasy readers,Moderate; comedic and dramatic,Humorous; Hopeful; Satirical,Third-person; witty fantasy prose,Rise-and-fall redemption arc with business intrigue (guess),Urban; postal infrastructure; fantastical city,Steam/deliver systems; messaging networks,Violence; Sabotage; Death,
172,Thud!,Terry Pratchett,Discworld,34.0,Comic fantasy; Urban fantasy,Conflict; Prejudice; Duty; Reconciliation,"As tensions between trolls and dwarfs reach boiling point, Commander Vimes investigates a possible murder that threatens to ignite war in Ankh-Morpork.",,2005,,,Fantasy readers,Moderate; crime + political stakes,Grim; Wry; Thoughtful,Third-person ensemble with city politics,Mystery arc intersecting intercommunal tensions (guess),Ankh-Morpork; city streets; underground zones,Urban infrastructure; policing,Violence; Hate crimes; Conflict,
173,"The Lion, the Witch and the Wardrobe",C.S. Lewis,The Chronicles of Narnia,1.0,Children’s fantasy; Christian allegory,Good vs evil; Sacrifice; Imagination; Redemption,"Four siblings step into the magical land of Narnia through a wardrobe, where they must help defeat the White Witch and restore the rightful king, Aslan.",206.0,1950,Geoffrey Bles,,Children / fantasy readers,Fast; adventure + moral arcs,Magical; Hopeful; Mythic,Third-person straightforward narrative,Quest arc with moral resolution (guess),Magical land of Narnia,,Violence; Death,
174,Prince Caspian,C.S. Lewis,The Chronicles of Narnia,2.0,Children’s fantasy; Christian allegory,Restoration; Faith; Courage; Justice,"Returning to Narnia, the Pevensie children find it under a tyrant’s rule. They join Prince Caspian in reclaiming the throne and restoring Narnia’s true order.",195.0,1951,Geoffrey Bles,,Children / fantasy readers,Moderate; action + political struggle,Hopeful; Tense; Moral,Third-person; descriptive fantasy,Rebellion arc converging on coronation (guess),Narnia; woods; castles,,Violence; Death,
175,The Voyage of the Dawn Treader,C.S. Lewis,The Chronicles of Narnia,3.0,Children’s fantasy; Quest fantasy,Discovery; Faith; Courage; Change,"Lucy, Edmund, and their cousin Eustace join Caspian on a sea voyage to the Eastern Isles. They encounter dragons, magic, and self-transformation.",248.0,1952,Geoffrey Bles,,Children / fantasy readers,Moderate; episodic adventure,Enchanting; Reflective; Adventurous,Third-person; episodic narrative,Island-by-island quest structure (guess),Seas and magical islands,,Violence; Danger,
176,The Silver Chair,C.S. Lewis,The Chronicles of Narnia,4.0,Children’s fantasy; Quest fantasy,Truth and deception; Perseverance; Friendship,"Eustace and Jill search for a missing prince through marshes, underworlds, and trials while battling enchantments and deception.",208.0,1953,Geoffrey Bles,,Children / fantasy readers,Moderate; mystery + peril,Suspenseful; Mythic; Steady,Third-person; quest structure,Search arc with internal and external challenges (guess),Underlands; magical realms,,Violence; Enchantment; Peril,
177,The Horse and His Boy,C.S. Lewis,The Chronicles of Narnia,5.0,Children’s fantasy; Coming-of-age,Belonging; Identity; Refuge; Destiny,A boy named Shasta and a talking horse escape from Calormen to Narnia. They learn truths about themselves and play a part in thwarting invasion.,227.0,1954,Geoffrey Bles,,Children / fantasy readers,Moderate; character + adventure,Hopeful; Reflective; Adventurous,Third-person; dual POV,Journey and revelation arc (guess),Desert lands; Narnia; kingdoms,,Violence; Peril,
178,The Magician’s Nephew,C.S. Lewis,The Chronicles of Narnia,6.0,Children’s fantasy; Creation myth,Origins; Choice; Curiosity; Consequence,"Digory and Polly use magical rings to travel between worlds. They witness Narnia’s creation, unwittingly unleash evil, and learn responsibility.",,1955,Geoffrey Bles,,Children / fantasy readers,Moderate; creation + peril,Mythical; Reflective; Tense,Third-person; descriptive mythic prose,Origin arc with interworld travel crescendo (guess),Multiple worlds; creation realm,Magical rings; creation magic,Violence; Sacrifice,208.0
179,The Last Battle,C.S. Lewis,The Chronicles of Narnia,7.0,Children’s fantasy; Apocalypse fantasy,Faith; End and renewal; Truth and deception,Narnia faces a false Aslan and invasion. The final struggles usher in the end of Narnia and a new beginning beyond.,212.0,1956,Geoffrey Bles,,Children / fantasy readers,Moderate; escalating conflict,Somber; Mythical; Sublime,Third-person; mythic closing narration,Convergence of deception and final revelation (guess),Narnia; end-time landscape,,Violence; Apocalypse,
180,Watership Down,Richard Adams,,,Animal fantasy; Adventure,Survival; Community; Exile; Freedom,"A group of rabbits flee destruction of their warren and seek a new home, facing perils, diplomacy, myths, and leadership challenges along the way.",448.0,1972,Rex Collings / Scribner,Carnegie Medal; Guardian Children’s Fiction Prize,Young adult / fantasy readers,Moderate; journey + conflict,Mythic; Tense; Reflective,Third-person anthropomorphic narrative,Quest journey with episodic tensions and leadership arcs (guess),English countryside; warren lands; wilderness,,Violence; Death; Predation,
181,The Black Company,Glen Cook,The Black Company,1.0,Military fantasy; Dark fantasy,Loyalty; Corruption; Survival; Morality in war,"The Black Company, a band of mercenaries, serves powerful sorcerers in a land torn by war. They chronicle their missions amid shifting allegiances and dark magic.",,1984,,,Adult / fantasy readers,Moderate; battlefield and intrigue,Gritty; Cynical; Reflective,First-person journal narration by the Company’s annalist,Sequential campaign and mission arcs (guess),War-ravaged land; magical battlegrounds,Magic; siegecraft; enchantments,Violence; Death; Moral ambiguity,
182,Shadows Linger,Glen Cook,The Black Company,2.0,Military fantasy; Dark fantasy,Aftermath; Secrets; Legacy; Power struggles,"Following *The Black Company*, the mercenaries deal with political fallout, betrayals, and unearthly threats in a land still unstable.",,1984,,,Adult / fantasy readers,Moderate; tension + action,Dark; Brooding; Strategic,First-person annalist voice; layered narrative,Convergent arcs of intrigue and conflict (guess),Cities; war zones; magical enclaves,Magic; dark powers,Violence; Betrayal,
183,The White Rose,Glen Cook,The Black Company,3.0,Military fantasy; Dark fantasy,Resistance; Hope; Sacrifice; Redemption,"The Black Company joins forces with rebels against tyrannical evil, facing moral choices and supernatural dangers as the battle intensifies.",,1985,,,Adult / fantasy readers,Moderate to fast; battles and strategy,Gritty; Hopeful; Intense,First-person annalist with collected perspectives,Battle arcs combining uprising and internal conflict (guess),Rebellion zones; strongholds; wilderness,Magic; military tactics,Violence; Death; Sacrifice,
184,Gardens of the Moon,Steven Erikson,Malazan Book of the Fallen,1.0,Epic fantasy; Military fantasy,Empire; War; Memory; God and mortals,"In the vast Malazan Empire, the Bridgeburners invade the city of Pale, setting off complex plots, betrayals, and the clash of gods and mortals.",713.0,1999,Bantam / Tor,,Adult / fantasy readers,Moderate to dense; layered plots,Epic; Dark; Complex,Third-person multiple POV; nonlinear time jumps,"Interwoven arcs, flashbacks, shifting timelines (guess)","Terrestrial world with cities, warrens, magical zones",Magic; warrens; ancient artifacts,Violence; Mass death; Intrigue,
185,Deadhouse Gates,Steven Erikson,Malazan Book of the Fallen,2.0,Epic fantasy; Military fantasy,Rebellion; Sacrifice; Survival; Leadership,"On the continent of Seven Cities the Whirlwind rebellion rages. Meanwhile, Coltaine leads the Malazan 7th Army on a desperate march to save refugees—known as the Chain of Dogs. Multiple POVs converge in conflict, destiny, and loss.",864.0,2000,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Fast; multiple converging arcs,Grim; Heroic; Tragic,Third-person multiple POV; dense epic prose,Parallel arcs converging towards a climatic confrontation (guess),Continent-wide war zones; desert marches; cities,Magic; military tactics; warrens,Violence; Death; Mass suffering,
186,Memories of Ice,Steven Erikson,Malazan Book of the Fallen,3.0,Epic fantasy; Cosmic fantasy,Memory; Unity and division; Sacrifice; War and legacy,"On Genabackis, ancient powers awaken and old alliances shift. The Malazan 2nd Army, allied forces, and gods confront the rising Pannion Domin in a struggle where history, identity, and sacrifice collide.",1187.0,2001,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate to dense; shifting scales,Epic; Somber; Mythic,Third-person; sprawling multi-POV,Multiple arcs across fronts converging in a grand battle (guess),"Cities, battlefields, warrens, wilds",Magic; ancient artifacts; warrens,Violence; Death; Horror,
187,House of Chains,Steven Erikson,Malazan Book of the Fallen,4.0,Epic fantasy; Military fantasy,Freedom; Power and oppression; Transformation; Rebellion,"Karsa Orlong descends from his mountain fastness and confronts civilization. Simultaneously, characters from earlier books wrestle with political and magical upheavals in a changing empire.",1021.0,2002,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate to fast; interleaving arcs,Harsh; Intricate; Epic,Third-person multiple POV,Concurrent arcs intersecting at major upheaval (guess),"Wilderness, empires, war fronts",Magic; warrens; cultural conflict,Violence; Brutality; War,
188,Midnight Tides,Steven Erikson,Malazan Book of the Fallen,5.0,Epic fantasy; Political fantasy,Empire; Fate; Power struggles; Cost of ambition,"On a continent unknown to earlier books, two nations clash and deeper conspiracies emerge around their royal houses, undermining balance and setting the stage for mass conflict.",940.0,2004,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate; political tensions and looming war,Serious; Foreboding; Complex,Third-person multiple POV,Parallel arcs of rule and rebellion converging (guess),"Empire borders, rivers, palaces",Magic; political machinery,Violence; Intrigue; Death,
189,The Bonehunters,Steven Erikson,Malazan Book of the Fallen,6.0,Epic fantasy; Military fantasy,Survival; Betrayal; Duty; Endurance,"The Malazan armies push deeper into enemy territory while facing internal betrayal, plague, and the spiritual costs of wielding power in war’s aftermath.",,2006,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate; tension rising,Dark; Gritty; Heroic undertone,Third-person; expansive POV,Multi-theater arcs converging on existential crisis (guess),"Battlefields, cities, warrens, besieged zones",Magic; divine interference; war tech,Violence; Death; Disease,
190,Reaper’s Gale,Steven Erikson,Malazan Book of the Fallen,7.0,Epic fantasy; Cataclysmic fantasy,Collapse; Rebirth; Sacrifice; Cosmic stakes,"As gods, armies, and ancient machinations converge, characters old and new confront cataclysmic change and existential choice on battered worlds.",,2007,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate to fast; multiple climaxes,Epic; Tense; Dramatic,Third-person multiple POV,Intersecting arcs with climactic unification (guess),"Continents, warrens, divine realms",Magic; divine-mortal interaction,Violence; Death; Cosmic peril,
191,Toll the Hounds,Steven Erikson,Malazan Book of the Fallen,8.0,Epic fantasy; Dark fantasy,Memory; Regret; Fate; Redemption,"Amid political and spiritual upheavals in Darujhistan, old friends and enemies return. The past haunts the present as myth, vengeance, and reconciliation collide.",,2008,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate; deep tension,Somber; Reflective; Dark,Third-person multiple POV,Parallel past-present arcs converging toward major revelations (guess),"City, warrens, mythic zones",Magic; prophecy; warrens,Violence; Vengeance; Loss,
192,Dust of Dreams,Steven Erikson,Malazan Book of the Fallen,9.0,Epic fantasy; Endgame fantasy,Perseverance; Fate; Transition; Consequence,"As the Malazan forces march eastward through the Wastelands, characters reflect on losses and purpose. A gathering storm looms, preparing for the final confrontation.",,2010,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Moderate; heavy with foreshadowing,Ominous; Reflective; Grim,Third-person multiple POV,March arcs converging on climactic threat (guess),"Wastelands, borderlands, rising menace",Magic; ancient weapons; prophecy,Violence; Death; Despair,
193,The Crippled God,Steven Erikson,Malazan Book of the Fallen,10.0,Epic fantasy; Apocalyptic fantasy,Fulfillment; Sacrifice; Fate; Renewal,"The final battle of the Malazan saga unfolds. Prophecies resolve, destinies intersect, and the cost of everything is laid bare as worlds shake and the fate of mortals and gods is decided.",,2011,Bantam (UK); Tor (US),,Adult / epic fantasy readers,Fast; climactic resolution,Epic; Emotional; Resolute,Third-person multiple POV,Converging arcs and final siege climaxes (guess),"All major battlefronts, realms, warrens",Magic; divine forces; endgame systems,Violence; Death; Epic destruction,
